STATEFIP,income_group,mean_value_2007,mean_value_2009,mean_value_2019,mean_value_2021,median_value_2007,median_value_2009,median_value_2019,median_value_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07
12,High,488154.7333650783,439693.3308341339,558094.7262959478,641041.3859665744,450000,300000,400000,450000,29715,28815,30808,30463,-9.927467505411109,14.862469713903277,31.31930147385382,152886.65260149614,1
12,Low,207213.50557279837,166745.21546878968,209349.27916015353,257044.13446798263,162500,134000,175000,200000,27369,26337,27893,28802,-19.529755066950184,22.782431111856006,24.04796384166076,49830.62889518426,1
12,Middle,280811.9128731367,210935.87341669633,270500.38545487635,320035.88525405654,225000,180000,245000,286000,82734,80373,84831,84226,-24.883573756362857,18.312543146983238,13.968058541248636,39223.97238091985,1
13,High,387773.5458559636,383081.96375116374,481823.8039860954,544793.5466118528,350000,300000,390000,425000,14106,14309,14558,13387,-1.2098767837408189,13.069039367671964,40.4927057128888,157020.00075588922,1
13,Low,129667.51383936663,135274.77226469832,162677.3508329762,196425.6647553317,112500,100000,130000,165000,14004,13765,14316,14244,4.324335571265764,20.745551700682363,51.48409878411467,66758.15091596507,1
13,Middle,197992.70561916078,182370.75486271875,226294.32154350646,272303.4622687566,162500,150000,200000,250000,40541,40651,41690,39720,-7.890164795510636,20.331548936549247,37.53206786947628,74310.7566495958,1
15,High,731119.6446853753,815476.6536449712,1041219.6348785702,999241.9260327691,625000,650000,900000,900000,1838,1764,1924,2152,11.538058041908792,-4.031590208217368,36.67283231908995,268122.2813473939,1
15,Low,473137.6300684088,444771.6867272739,608175.650479201,662536.7031970118,450000,400000,500000,600000,1781,1876,1896,1946,-5.995283726858413,8.938380330580161,40.03043957869483,189399.07312860305,1
15,Middle,566426.7050094471,539325.5083488561,757239.4744470378,754387.1041161676,625000,500000,681000,700000,5125,5184,5483,6001,-4.784590207507772,-0.3766800896048176,33.183534152681894,187960.39910672058,1
16,High,387797.91167696123,352230.287457096,452581.8914944543,599575.3058781807,350000,260000,375000,500000,2263,2386,2438,2504,-9.171690498811495,32.478854577752706,54.61024616801745,211777.39420121943,1
16,Low,160923.00431812173,154878.75443052105,210855.85661712455,310837.8489032225,137500,130000,175000,265000,2383,2422,2896,3004,-3.7559887184631915,47.41722325865809,93.15936228032417,149914.84458510074,1
16,Middle,220297.1200411757,192995.59123942073,277293.6478648758,388877.16722296894,187500,168000,250000,350000,7015,7067,7790,8032,-12.393048441419497,40.2402003137365,76.52394509301075,168580.04718179326,1
17,High,467144.3451237881,479572.6083373795,520287.43201800215,532938.2303223149,450000,367000,389000,400000,19092,18565,17707,18393,2.6604760056119408,2.4315018056932467,14.084273070049072,65793.88519852678,1
17,Low,180160.2363937846,161786.60451651612,170580.08016923265,190428.8255655296,137500,130000,140000,150000,20827,20005,19108,20208,-10.19849454299582,11.636027710038007,5.699697878559876,10268.589171745,1
17,Middle,247002.5292972051,222358.96218831997,234763.887588818,252757.91543761815,225000,200000,200000,228000,59298,57162,55792,56366,-9.977050509969807,7.66473414357329,2.330091986016834,5755.3861404130585,1
18,High,269050.4656238354,261971.98996281365,348778.64105312707,376780.04305993364,225000,200000,275000,310000,9839,9730,9226,9249,-2.6309100207684817,8.02841651147477,40.04065824094021,107729.57743609825,1
18,Low,102772.80137766477,100248.17114510683,129354.75352980009,146083.3942871588,85000,80000,100000,125000,10611,10202,10428,11329,-2.4565159251430253,12.932374188711083,42.14207682277556,43310.59290949402,1
18,Middle,142247.2120550329,138992.46973770313,175113.27148706364,205854.42060864627,137500,125000,150000,180000,30597,29894,30001,30707,-2.288088652360069,17.55500817301195,44.7159614833118,63607.20855361337,1
19,High,238459.04571718967,241641.17174833542,343328.58363623073,359474.4236631056,225000,212000,290000,300000,4331,4284,4239,4091,1.3344538981841427,4.702736910475815,50.74891480084135,121015.37794591591,1
19,Low,100690.07242240057,97985.17011867695,126108.72097534803,148324.1311614864,85000,80000,100000,120000,5231,5378,5445,5822,-2.6863644435336185,17.616077630730306,47.307602023820444,47634.05873908584,1
19,Middle,137939.26121789607,141380.88454620642,181981.1934520861,200874.1805629254,112500,125000,160000,180000,15250,14588,15281,15266,2.495028099993795,10.381834931648394,45.62509526973184,62934.91934502934,1
20,High,279280.7772873589,287101.8417467793,382341.3771362718,423506.02381319454,225000,240000,315000,350000,3984,3970,3952,3694,2.8004306402273813,10.766463987038234,51.641666113467856,144225.24652583565,1
20,Low,89065.66040084651,89740.68359382151,119735.70654661395,137027.63273225803,75000,72000,92000,100000,4885,4724,4923,4743,0.7578938840592542,14.441745644948627,53.850128226249225,47961.972331411525,1
20,Middle,140822.01097281114,138721.33389303653,175618.63249340138,210581.33144049314,137500,125000,155000,180000,13180,12679,12848,12814,-1.4917249549718452,19.90830839000266,49.53722787068465,69759.320467682,1
