STATEFIP,income_group,mean_value_2007,mean_value_2009,mean_value_2019,mean_value_2021,median_value_2007,median_value_2009,median_value_2019,median_value_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07
46,Low,82182.92511261262,94148.49290618683,154337.47032279367,163921.08193792895,55000,70000,125000,150000,1370,1416,1573,1467,14.559676206679404,6.209517102419359,99.45880693990043,81738.15682531633,1
46,Middle,144493.47529650535,138585.26690500198,208432.2612144256,247149.74294614213,137500,130000,195000,225000,3604,3743,4061,3938,-4.088910159700662,18.57557055041769,71.04560772656534,102656.26764963678,1
47,High,326263.7245167883,324609.4640303499,452729.71442336973,520516.1043912856,275000,250000,350000,400000,9619,9747,9857,9666,-0.5070316931152677,14.9728166295101,59.538454715489465,194252.3798744973,1
47,Low,107730.52299244032,104537.17476034974,156566.8233609017,185063.3806958014,85000,81000,125000,150000,9490,9479,10100,10378,-2.9642000645580024,18.2008913019921,71.78360928293989,77332.85770336108,1
47,Middle,155230.40929258405,155513.67219028936,220089.07069153074,265186.31254655885,137500,135000,190000,230000,27855,27955,29156,29831,0.1824789994410216,20.490450395074298,70.83399686637804,109955.9032539748,1
48,High,294153.4719564177,320173.899170136,468328.16123587155,539048.8212565213,225000,235000,375000,400000,34999,35226,39178,37464,8.845867784818644,15.10066356761996,83.25427800369043,244895.34930010355,1
48,Low,89199.59965917423,93109.59905550432,147777.48799429822,182564.32320942145,75000,75000,117000,145000,33487,33114,37464,37781,4.383427068361231,23.540009839973344,104.66944235959315,93364.72355024722,1
48,Middle,138340.58127265578,140217.93864871984,215770.5138274021,257641.6331756592,112500,120000,190000,225000,99864,102007,111596,105575,1.3570547114905998,19.405394465413572,86.23720589107016,119301.05190300342,1
49,High,410157.08770318475,384999.99226987414,603214.491144861,711660.7464544234,350000,325000,475000,600000,4166,4250,5326,5387,-6.133526930909907,17.978058700768052,73.5093133315364,301503.65875123866,1
49,Low,200659.06036331053,200498.38777208608,287571.34969486645,373334.29325748066,162500,180000,250000,350000,4145,4224,5013,5232,-0.0800724327790366,29.823187759703725,86.05404240482675,172675.23289417013,1
49,Middle,260609.75165036134,240893.111036776,349862.9776755537,449584.8885669697,225000,220000,325000,400000,12560,13020,14703,15358,-7.565580523647299,28.503133299200744,72.51268830881692,188975.13691660838,1
