puma_geoid,STATEFIP,mean_val_2007,mean_val_2009,mean_val_2019,mean_val_2021,med_val_2007,med_val_2009,med_val_2019,med_val_2021,med_inc_2007,med_inc_2009,med_inc_2019,med_inc_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07,decimated
0101700,1,181608.79859110576,178208.1995719636,132340.3409689905,128190.28682170542,162500,135000,100000,100000,68000,62600,60000,50000,1149,1207,771,857,-1.872485829719432,-3.1358950089583795,-29.414054926750943,-53418.51176940034,0,FALSE
0101800,1,106987.42709830108,133536.17577251533,147229.3304619727,175102.88781560268,85000,92000,120000,130000,49000,44500,56000,65000,1433,1525,904,902,24.81483048454002,18.93206826803394,63.66679016845266,68115.4607173016,1,FALSE
0101900,1,169636.47575633437,150587.57634541587,268085.15074668924,294012.792032319,112500,120000,200000,210000,69000,65020,84100,80000,1089,1127,665,793,-11.229247321949977,9.671420148939362,73.31932340697682,124376.31627598463,1,TRUE
0102000,1,186934.83042294288,168388.42684805894,199680.7832262986,242538.48397834515,137500,150000,130000,150000,66370,68200,73000,74700,1350,1366,1013,1012,-9.921320458537567,21.463107295345402,29.744940217720885,55603.65355540227,1,TRUE
0102100,1,100104.2856095287,90777.9923315543,180173.3082764205,208734.6569022235,75000,75000,155000,175000,46000,44100,69000,77300,1042,1105,1239,1262,-9.316577428415965,15.852153073630872,108.51720346561719,108630.3712926948,1,FALSE
0102200,1,148782.12557625634,181293.44263855962,129740.54302573942,146815.47525694268,112500,125000,100000,125000,59000,57640,57000,54200,1129,1160,1003,1145,21.851628303051786,13.160829940272208,-1.3218323852388294,-1966.6503193136596,0,FALSE
0102300,1,141978.48058142175,144134.29459402923,148255.33346744452,167835.41193920103,112500,125000,125000,140000,57000,59300,70700,65000,1566,1515,1543,1715,1.5184089897138722,13.206997693648649,18.211866510961045,25856.93135777928,1,FALSE
0102400,1,252832.9100475196,228276.45181665284,160478.22931450265,165794.61592920375,187500,160000,120000,135000,61100,64500,65000,62600,1204,1211,1054,979,-9.712524459830568,3.3128397773395983,-34.42522340226876,-87038.29411831585,0,TRUE
0102500,1,129596.01566702065,128766.75893088833,173097.60224393776,181693.86654780767,95000,100000,147000,150000,50000,50400,65100,72500,1008,989,3216,2868,-0.6398782646705581,4.966137134444898,40.200194900007865,52097.850880787024,1,FALSE
0102600,1,144446.1124716249,146210.69447074417,299616.01124755957,318747.3995401292,112500,120000,225000,250000,58900,64400,80000,85000,2328,2425,1189,1281,1.221619584581011,6.385302378504125,120.66872834860416,174301.2870685043,1,FALSE
