puma_geoid,risk_score,sovi_score,resl_score,nri_pop,nri_tracts
0606703,34.71896609040388,50.47573530422559,43.584883307665,119557,26
0606704,31.816302662344935,61.729342972519824,43.584883307665,137958,30
0606705,30.36963735595415,39.284401631149024,43.584883307664995,123040,29
0606706,16.66009714918796,31.963903849498582,43.584883307664995,126345,28
0606707,38.390521626048056,44.95701347945325,43.584883307665,133339,40
0606708,21.22297319730852,61.660302915393075,43.58488330766501,148404,33
0606709,20.69477567797958,47.79661177408648,43.584883307664995,147629,34
0606710,31.45709308262416,34.924920749189326,43.58488330766501,160184,31
0606711,47.85645437352691,48.24262131110863,43.584883307665,130528,30
0606712,43.71189470464225,33.188927037378164,43.58488330766501,118728,24
0607101,81.50491063825724,55.47630031589423,19.3697429214548,141105,41
0607102,63.13032196276554,46.043554719812946,19.369742921454797,188733,37
0607103,74.12758529063308,41.32392348579027,19.369742921454804,183212,36
0607104,92.32369103033378,48.40834002293817,19.369742921454797,119802,38
0607105,93.14208210904381,34.74352920962684,19.3697429214548,147307,30
0607106,90.26482312378275,41.66883931543811,19.369742921454808,107312,24
0607107,87.48510218073133,49.27160600497636,19.3697429214548,113656,27
0607108,90.39963992201469,57.96558554224491,19.369742921454797,177803,36
0607109,83.72492492755862,44.489108360739586,19.369742921454804,115426,23
0607110,83.25241132624241,46.91896030428268,19.369742921454797,110688,21
0607111,89.53646595742859,35.60354738170885,19.369742921454794,174444,36
0607112,90.76332158306607,40.18428194597148,19.369742921454797,127336,28
0607113,84.89902280994767,46.19627091478964,19.369742921454804,175717,35
0607114,91.25016290434333,28.21573850127305,19.3697429214548,174904,31
0607115,77.16555024876682,25.068053412199408,19.369742921454797,122534,23
0607301,55.874536174859664,32.32781681860236,5.37732496149745,196064,40
0607302,89.47466589549622,48.3280168007041,5.377324961497452,125736,28
0607303,43.6032283175977,40.02099302181334,5.377324961497449,113319,22
0607304,57.79193470327295,27.40144060438287,5.37732496149745,124374,25
0607305,58.64878429952931,35.20559992854921,5.377324961497449,129390,26
0607306,62.036912083371874,47.10276764772153,5.3773249614974485,144270,30
0607307,81.29923086489742,38.090511743920686,5.377324961497452,112282,24
0607308,49.99229048766497,24.28008928916255,5.37732496149745,128327,30
0607309,51.614975406670304,28.02834127776212,5.377324961497449,180180,42
0607310,54.623592557325175,28.90138120637226,5.3773249614974485,165287,54
0607311,50.898611267639794,14.96847113269162,5.37732496149745,123938,25
0607312,42.131265971643586,34.17756321985565,5.377324961497451,122646,27
0607313,59.456646169066964,51.54835378391782,5.377324961497451,189559,43
0607314,41.201624446091486,33.615003981519926,5.377324961497451,159202,34
0607315,60.65976771783841,38.3458366224739,5.37732496149745,166232,34
0607316,47.46920212440169,40.390956885232704,5.37732496149745,178560,55
