puma_geoid,hc_share,n_orig
1703525,0.255352578535261,617366
1703526,0.255352578535261,617366
1703527,0.255352578535261,617366
1703528,0.255352578535261,617366
1703529,0.255352578535261,617366
1703530,0.255352578535261,617366
1703531,0.255352578535261,617366
1703532,0.255352578535261,617366
1702601,0.182813094784926,10508
1703202,0.15379120067005,121782
1703203,0.15379120067005,121782
1703204,0.15379120067005,121782
1703205,0.15379120067005,121782
1703207,0.15379120067005,121782
1703208,0.15379120067005,121782
1703209,0.15379120067005,121782
1702200,0.263216914168732,3145
1700900,0.236997502899656,1913
1700202,0.276940287087173,2035
1703700,0.165675275535868,14780
1701001,0.216056659946734,1964
1703005,0.201091681274673,70167
1703007,0.201091681274673,70167
1703008,0.201091681274673,70167
1703009,0.201091681274673,70167
1702300,0.239093959731544,9536
1703306,0.165603160133698,95439
1703307,0.165603160133698,95439
1703308,0.165603160133698,95439
1703309,0.165603160133698,95439
1703310,0.165603160133698,95439
1702400,0.238262580826539,7114
1703601,0.172689101702277,48347
1703602,0.172689101702277,48347
1702000,0.1256038647343,15318
1701500,0.224833929483904,7828
1701204,0.212694483734088,28280
1701205,0.212694483734088,28280
1702700,0.219949336157599,3357
1701701,0.182270039008431,15894
1700105,0.23567335243553,12564
1701104,0.234648861333015,25161
1701105,0.234648861333015,25161
1701300,0.145999326674896,17822
1701900,0.168917372396429,13107
1703102,0.220961492111167,107874
1703105,0.220961492111167,107874
1703106,0.220961492111167,107874
1703107,0.220961492111167,107874
1703108,0.220961492111167,107874
1702801,0.240759172186567,29137
1800900,0.225663103651383,2765
1801001,0.208303816182585,32467
1801002,0.208303816182585,32467
1801003,0.208303816182585,32467
1802900,0.164470342114021,5438
1801100,0.237131346186266,2328
1801500,0.320217039022593,2465
1801801,0.107606995997679,21074
1802100,0.2097807766324,5436
1801300,0.265907720007396,5550
1803600,0.203086020511873,10823
1801600,0.271716769198901,1308
1803400,0.259253737026856,1428
1802700,0.31091399410913,1790
1803100,0.17727844391882,3118
1803000,0.244325721335693,1910
1800600,0.217821853915703,3205
1802000,0.263845675171126,8035
1800500,0.226107770447779,17129
1802600,0.256938940845766,3601
1803500,0.169573937656676,4892
1800700,0.241924460892454,1874
1803200,0.156754977183334,4116
1801400,0.323910473432243,3205
1801802,0.102505633651679,37276
1801803,0.102505633651679,37276
1802500,0.170642089119024,6514
1802200,0.143423970124869,17138
1802400,0.170063246661982,15653
1800800,0.181183651449957,5476
1800101,0.276626016260163,44280
1800102,0.276626016260163,44280
1800103,0.276626016260163,44280
1800104,0.276626016260163,44280
1800300,0.2521987435751,8755
1801900,0.277704311028828,11343
1802301,0.247411694900888,82583
1802302,0.247411694900888,82583
1802303,0.247411694900888,82583
1802304,0.247411694900888,82583
1802305,0.247411694900888,82583
1802306,0.247411694900888,82583
1802307,0.247411694900888,82583
1802800,0.140809443507589,9488
1800200,0.181433845420984,16794
1800401,0.232475818069562,24295
1800402,0.232475818069562,24295
1801200,0.122787071625792,12314
1803300,0.201089148850343,14874
1801700,0.260046668395126,7714
1901800,0.31335504939114,483
1900400,0.196244185779332,916
1901200,0.223011596770744,2019
1900500,0.176428635107426,11217
1901300,0.134039660337899,5108
1900700,0.139693123074273,5553
1901900,0.294283187545883,585
1900600,0.270595103550713,1359
1902100,0.269436741683673,4940
1900800,0.292243776062914,2440
1900200,0.216930948193568,1457
1900100,0.21085027398293,809
1901400,0.188564148983444,3874
1901500,0.187349175792421,37797
1902200,0.268340335537058,1219
1902300,0.333132823462378,1327
1901100,0.0730005895067793,10178
1901000,0.150834772596431,20844
1902000,0.266853515652075,6029
1901600,0.190546889300169,49169
1901700,0.190546889300169,49169
1900900,0.228229123204387,16777
2001400,0.242008949236201,2098
2000400,0.218290985260462,5332
2001100,0.314567596040392,956
2000802,0.189592068415954,9814
2001302,0.201496921386825,29672
2001304,0.202027251113384,39688
2000900,0.28256500384828,1041
2001500,0.304110729939657,1407
2000100,0.182178258062944,438
2001200,0.181844989364135,1089
2000200,0.203010995916823,1447
2000700,0.120413922859831,9567
2000300,0.136832943553649,2252
2001301,0.20216086231698,33559
2000601,0.124691771439009,65698
2000602,0.124691771439009,65698
2000603,0.124691771439009,65698
2000604,0.124691771439009,65698
2001000,0.25870210382772,2834
2001303,0.202125649504015,42340
2000801,0.1854403639909,15385
2000500,0.392144850588796,14691
2100600,0.320808365048411,637
2100400,0.296563937928172,1012
2102000,0.217578930754395,2394
2100100,0.195141016933171,2200
2102700,0.284015720896401,788
2100900,0.341947088665841,886
2102500,0.141164856860809,14182
2102300,0.183879139605672,2997
2102800,0.233680670119102,2127
2102100,0.213560273795866,2567
2101000,0.388289233601149,380
2101300,0.234957189606809,5246
2101600,0.216579709778768,6258
2100200,0.311115217026078,1271
2102600,0.16590442110789,5450
2100300,0.186171059003867,2995
2100800,0.275922847095775,1740
2101500,0.178528106197998,6756
2102200,0.214233630036638,4470
2101901,0.145997043491792,25706
2101902,0.145997043491792,25706
2101100,0.298097029314184,1291
2101200,0.233970050582547,3355
2101400,0.241066146790306,1702
2101800,0.146336471961769,4775
2101701,0.189759770745686,65604
2101702,0.189759770745686,65604
2101703,0.189759770745686,65604
2101704,0.189759770745686,65604
2101705,0.189759770745686,65604
2101706,0.189759770745686,65604
2102400,0.167750709555345,16912
2100700,0.27251618162246,2212
2100500,0.161664564943253,7930
2201100,0.34255050889235,2038
2200800,0.265533449620768,7228
2201600,0.209961610394724,10159
2202000,0.277679100086552,4882
2200600,0.484284949910623,1115
2200300,0.339604794097519,1166
2200200,0.223877982449756,7133
2200100,0.29643108710965,17036
2200101,0.29643108710965,17036
2200900,0.264554698595613,8935
2200500,0.400154235711194,703
2201500,0.26425821735268,33770
2201501,0.26425821735268,33770
2201502,0.26425821735268,33770
2201400,0.377064546463206,1221
2201000,0.339371203627712,2385
2201300,0.364252158831543,2815
