puma_geoid,cluster,cluster_label
2602901,1,Below-Average Recovery
2602902,1,Below-Average Recovery
2602903,1,Below-Average Recovery
2602904,2,Boom Markets
2602905,1,Below-Average Recovery
2602906,1,Below-Average Recovery
2602907,1,Below-Average Recovery
2602908,2,Boom Markets
2603001,1,Below-Average Recovery
2603002,1,Below-Average Recovery
2603003,3,Persistently Depressed
2603004,3,Persistently Depressed
2603005,2,Boom Markets
2603006,3,Persistently Depressed
2603100,3,Persistently Depressed
2603201,1,Below-Average Recovery
2603202,1,Below-Average Recovery
2603203,2,Boom Markets
2603204,3,Persistently Depressed
2603205,3,Persistently Depressed
2603206,1,Below-Average Recovery
2603207,3,Persistently Depressed
2603208,3,Persistently Depressed
2603209,3,Persistently Depressed
2603210,3,Persistently Depressed
2603211,2,Boom Markets
2603212,3,Persistently Depressed
2603213,3,Persistently Depressed
2603300,3,Persistently Depressed
2700100,3,Persistently Depressed
2700200,3,Persistently Depressed
2700300,3,Persistently Depressed
2700400,3,Persistently Depressed
2700500,1,Below-Average Recovery
2700600,3,Persistently Depressed
2700700,3,Persistently Depressed
2700800,3,Persistently Depressed
2700900,3,Persistently Depressed
2701000,1,Below-Average Recovery
2701101,1,Below-Average Recovery
2701102,1,Below-Average Recovery
2701103,1,Below-Average Recovery
2701201,1,Below-Average Recovery
2701202,1,Below-Average Recovery
2701301,1,Below-Average Recovery
2701302,1,Below-Average Recovery
2701303,3,Persistently Depressed
2701304,1,Below-Average Recovery
2701401,1,Below-Average Recovery
2701402,1,Below-Average Recovery
2701403,1,Below-Average Recovery
2701404,2,Boom Markets
2701405,3,Persistently Depressed
2701406,1,Below-Average Recovery
2701407,1,Below-Average Recovery
2701408,1,Below-Average Recovery
2701409,1,Below-Average Recovery
2701410,1,Below-Average Recovery
2701501,1,Below-Average Recovery
2701502,1,Below-Average Recovery
2701503,1,Below-Average Recovery
2701600,1,Below-Average Recovery
2701700,1,Below-Average Recovery
2701800,1,Below-Average Recovery
2701900,3,Persistently Depressed
2702000,3,Persistently Depressed
2702100,3,Persistently Depressed
2702200,3,Persistently Depressed
2702300,3,Persistently Depressed
2702400,3,Persistently Depressed
2702500,1,Below-Average Recovery
2702600,3,Persistently Depressed
2800100,3,Persistently Depressed
2800200,3,Persistently Depressed
2800300,3,Persistently Depressed
2800400,3,Persistently Depressed
2800500,3,Persistently Depressed
2800600,3,Persistently Depressed
2800700,3,Persistently Depressed
2800800,3,Persistently Depressed
2800900,3,Persistently Depressed
2801000,3,Persistently Depressed
2801100,3,Persistently Depressed
2801200,3,Persistently Depressed
2801300,3,Persistently Depressed
2801400,3,Persistently Depressed
2801500,3,Persistently Depressed
2801600,3,Persistently Depressed
2801700,3,Persistently Depressed
2801800,3,Persistently Depressed
2801900,3,Persistently Depressed
2802000,3,Persistently Depressed
2802100,3,Persistently Depressed
2900100,3,Persistently Depressed
2900200,3,Persistently Depressed
2900300,3,Persistently Depressed
2900400,3,Persistently Depressed
2900500,3,Persistently Depressed
2900600,1,Below-Average Recovery
2900700,3,Persistently Depressed
2900800,3,Persistently Depressed
2900901,1,Below-Average Recovery
2900902,3,Persistently Depressed
2900903,1,Below-Average Recovery
2901001,3,Persistently Depressed
2901002,3,Persistently Depressed
2901003,1,Below-Average Recovery
2901004,1,Below-Average Recovery
2901005,3,Persistently Depressed
2901100,3,Persistently Depressed
2901200,3,Persistently Depressed
2901300,3,Persistently Depressed
2901400,3,Persistently Depressed
2901500,3,Persistently Depressed
2901600,3,Persistently Depressed
2901701,1,Below-Average Recovery
2901702,1,Below-Average Recovery
2901703,1,Below-Average Recovery
2901801,3,Persistently Depressed
2901802,3,Persistently Depressed
2901803,3,Persistently Depressed
2901804,1,Below-Average Recovery
2901805,4,Above-Average Recovery
2901806,1,Below-Average Recovery
2901807,3,Persistently Depressed
2901808,1,Below-Average Recovery
2901901,3,Persistently Depressed
2901902,3,Persistently Depressed
2902001,1,Below-Average Recovery
2902002,3,Persistently Depressed
2902100,3,Persistently Depressed
2902200,3,Persistently Depressed
2902300,3,Persistently Depressed
2902400,3,Persistently Depressed
2902500,3,Persistently Depressed
2902601,3,Persistently Depressed
2902602,3,Persistently Depressed
2902603,1,Below-Average Recovery
2902700,3,Persistently Depressed
2902800,3,Persistently Depressed
3000100,2,Boom Markets
3000200,2,Boom Markets
3000300,3,Persistently Depressed
3000400,3,Persistently Depressed
3000500,2,Boom Markets
3000600,3,Persistently Depressed
3000700,3,Persistently Depressed
3100100,3,Persistently Depressed
