county_geoid,hc_share,n_orig
13051,0.207133648474431,23270
05033,0.296042989741085,4094
21071,0.350044762757386,1117
20181,0.393617021276596,188
13053,0.34453781512605,119
05035,0.261679079214624,2954
47011,0.314985123072762,7394
38101,0.141865844255975,3891
21073,0.225563909774436,3059
55031,0.248898678414097,3632
13055,0.387694588584136,1349
38103,0.31858407079646,113
21075,0.388235294117647,170
05037,0.307884856070088,799
47013,0.366391184573003,2541
20185,0.378947368421053,95
55033,0.191605254726049,3121
46123,0.181208053691275,149
13057,0.152590489709013,30998
47015,0.270975056689342,882
05039,0.648809523809524,336
38105,0.19205298013245,906
21077,0.269709543568465,482
46125,0.2816,625
55035,0.161348721430188,8838
13059,0.179259670040205,7213
21079,0.250554323725055,1353
47017,0.370879120879121,1456
55037,0.264705882352941,204
46127,0.134208606856309,1371
20189,0.149377593360996,241
47019,0.2798751950078,3205
46129,0.179916317991632,239
55039,0.176108129596502,10062
05041,0.34493670886076,316
13061,0.461538461538462,52
05043,0.278260869565217,460
21081,0.248161764705882,2176
20191,0.310046189376443,1732
13063,0.360726388684249,27148
39001,0.289972899728997,1107
47021,0.22068785825951,3838
29201,0.31496062992126,2286
21083,0.211076923076923,1625
05045,0.16443390634262,8435
20193,0.17283950617284,324
13065,0.55256064690027,371
39003,0.261871670141302,8634
55041,0.233716475095785,783
29203,0.317365269461078,167
47023,0.311133200795229,1006
05047,0.387061403508772,912
21085,0.272589217919514,1317
20195,0.303571428571429,56
13067,0.169923656791665,83308
39005,0.200144682903304,4147
55043,0.191639072847682,2416
05049,0.304526748971193,243
29205,0.359375,128
47025,0.376013904982619,1726
21087,0.353356890459364,566
13069,0.336024844720497,1610
20197,0.245762711864407,472
46135,0.120922832140016,1257
39007,0.304353778751369,7304
55045,0.150673159553137,3491
47027,0.397379912663755,229
29207,0.32022932022932,1221
21089,0.203100775193798,2580
39009,0.22304050499737,1901
55047,0.255190890823845,1493
29209,0.206076134699854,2732
47029,0.371956339210747,1191
55049,0.191666666666667,2400
05051,0.197985611510791,6950
13071,0.296485623003195,1565
