puma_geoid,state_fips,puma_code,puma_name
0600107,06,00107,Alameda County (Central)--Hayward City PUMA
0600101,06,00101,Alameda County (North)--Berkeley & Albany Cities PUMA
0601301,06,01301,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA
0601303,06,01303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA"
0609501,06,09501,Solano County (Southwest)--Vallejo & Benicia Cities PUMA
0605500,06,05500,Napa County--Napa City PUMA
0611300,06,11300,"Yolo County--Davis, Woodland & West Sacramento Cities PUMA"
0606705,06,06705,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA
0606706,06,06706,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA"
0603725,06,03725,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA"
0608506,06,08506,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA"
0608507,06,08507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town PUMA"
0607507,06,07507,San Francisco County (South Central)--Bayview & Hunters Point PUMA
0607320,06,07320,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA
0607316,06,07316,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA
0607309,06,07309,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA
0607304,06,07304,San Diego County (Northwest)--Carlsbad City PUMA
0607301,06,07301,San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA
0605901,06,05901,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA"
0605903,06,05903,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA"
0605918,06,05918,Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA
0607112,06,07112,San Bernardino County (Southwest)--Upland & Montclair Cities PUMA
0607111,06,07111,San Bernardino County (Southwest)--Rancho Cucamonga City PUMA
0607115,06,07115,San Bernardino County (Southwest)--Fontana City (West) PUMA
0607108,06,07108,San Bernardino County (Southwest)--San Bernardino City (West) PUMA
0607106,06,07106,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities PUMA"
0606508,06,06508,Riverside County (Northwest)--Moreno Valley City PUMA
0606512,06,06512,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA"
0605917,06,05917,Orange County (Central)--Santa Ana City (East) PUMA
0605916,06,05916,Orange County (Central)--Santa Ana City (West) PUMA
0603757,06,03757,Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA
0603750,06,03750,Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA
0603747,06,03747,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA
0611101,06,11101,Ventura County (Southeast)--Simi Valley City PUMA
0603705,06,03705,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA
0603706,06,03706,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA
0603707,06,03707,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA
0602901,06,02901,"Kern County (West)--Delano, Wasco & Shafter Cities PUMA"
0602903,06,02903,Kern County (Central)--Bakersfield City (Northeast) PUMA
0603701,06,03701,Los Angeles County (North/Unincorporated)--Castaic PUMA
0607102,06,07102,San Bernardino County (West Central)--Victorville & Adelanto Cities PUMA
