puma_geoid,lisa_p,lisa_type
0604701,6.415022921697691e-4,High-High
0601902,0.23494169647261381,Not Significant
0601906,0.1665190893147547,Not Significant
0610701,0.6454985128932427,Not Significant
0602902,0.00279241042646966,High-High
0605908,0.5789363107103125,Not Significant
0603765,0.5542280420959523,Not Significant
0603769,0.9864730536673826,Not Significant
0603766,0.46713553723161666,Not Significant
0603767,0.3900272839827115,Not Significant
0603748,0.05570161351611481,Not Significant
0603728,0.4531709255408224,Not Significant
0603727,0.33403909256690806,Not Significant
0611103,0.8183238907995181,Not Significant
0611104,0.718980724229807,Not Significant
0611105,0.21007778981770162,Not Significant
0608302,0.5281036778668906,Not Significant
0605301,0.012298734363176845,High-High
0608701,0.019604216158503572,High-High
0608101,0.10532367125068799,Not Significant
0607506,0.09590068231252812,Not Significant
0607901,0.08330318211254406,Not Significant
0605303,0.0027915827873306906,High-High
0608702,0.006821639708671098,High-High
0608104,0.012361653827824046,High-High
0607501,0.11954767536143651,Not Significant
0604101,0.0848210498350333,Not Significant
0609701,0.0061492468527436575,High-High
0603300,0.6006238597618248,Not Significant
0602300,0.9601362721230987,Not Significant
0608900,0.9088402152497552,Not Significant
0610100,0.013537883763836701,High-High
0603900,0.10825549848908733,Not Significant
0601907,0.32030817640781345,Not Significant
0610703,0.35649438507022174,Not Significant
0602905,6.720519604015121e-5,High-High
0606515,0.002828393056238139,High-High
0607307,0.18174840055313335,Not Significant
0607505,0.44109923668212336,Not Significant
0606711,2.1335504677025825e-8,High-High
0607704,7.917486894734343e-7,High-High
0609901,5.326056820149748e-7,High-High
0601904,0.09503700282439995,Not Significant
0601903,0.07011979535478195,Not Significant
0601905,0.28755399724309993,Not Significant
0608512,0.09512411177917005,Not Significant
0608502,0.0020873650052084776,High-High
0600108,7.453221802380075e-4,High-High
0600107,0.007956972154829147,High-High
0600101,2.616551763706153e-4,High-High
0601301,0.060021519681721446,Not Significant
0601303,0.0012924814578431194,High-High
0609501,0.002079130245729022,High-High
0605500,0.015735578637318972,High-High
0611300,0.013006175957042248,High-High
0606705,0.010579119367047874,High-High
0606706,0.0014807691342872188,High-High
0603725,0.5915661457388357,Not Significant
0608506,8.93510765596077e-6,High-High
0608507,0.0014780933595125788,High-High
0607507,0.0643021825111715,Not Significant
0607320,0.026416362257202206,High-High
0607316,0.05010976391624697,Not Significant
0607309,0.5232159551984887,Not Significant
0607304,0.17501142456782023,Not Significant
0607301,0.7111527674591063,Not Significant
0605901,0.9586576932262256,Not Significant
0605903,0.7920438275698374,Not Significant
0605918,0.5071062015797071,Not Significant
0607112,0.022600063300895857,High-High
0607111,0.040913090219929366,High-High
0607115,0.004545570299935493,High-High
0607108,0.03897825709416386,High-High
0607106,1.2569934260952675e-5,High-High
0606508,5.862379435751078e-4,High-High
0606512,0.001614879699038049,High-High
0605917,0.7976078187905994,Not Significant
0605916,0.4114428202486488,Not Significant
0603757,0.016417015761597813,High-High
0603750,3.157060524529116e-5,High-High
0603747,0.04766504210713413,High-High
0611101,0.7077020047184258,Not Significant
0603705,0.09094160225292774,Not Significant
0603706,0.11445158240670208,Not Significant
0603707,0.13194606647857451,Not Significant
0602901,0.021172741046084836,High-High
0602903,0.036022098573554213,High-High
0603701,5.650696688696627e-6,High-High
0607102,0.0021850069381114867,High-High
0607103,2.509971610643944e-4,High-High
0603745,0.0023174227112432314,High-High
0603732,0.14326870331288905,Not Significant
0603739,0.537916254122954,Not Significant
0603753,0.12702163637045832,Not Significant
0603734,0.022761486198402913,High-High
0601100,0.33877205712793357,Not Significant
0600702,0.4858935923290374,Not Significant
0610702,0.5053912258045228,Not Significant
0605700,0.14536875416304845,Not Significant
0606103,0.0065358182811008116,High-High
0601700,0.051085051476980524,Not Significant
0600300,3.4570370297260488e-6,High-High
0607101,9.669474573937484e-6,High-High
0606501,0.05885762877944614,Not Significant
0602500,0.27926108264794636,Not Significant
0607302,0.0014657706900783128,High-High
0607319,0.02591024460335366,High-High
0607322,0.1312872806652795,Not Significant
0607310,0.3632850942840579,Not Significant
0605914,0.9083117918879832,Not Significant
0603768,0.5045048440363662,Not Significant
0603760,0.4183539390355853,Not Significant
0603726,0.18475832747374463,Not Significant
0611106,0.992181796043244,Not Significant
0608303,0.203576377989233,Not Significant
0603733,0.1195285202716097,Not Significant
0603740,0.29967881926088236,Not Significant
0603744,6.823248311566731e-4,High-High
0603741,0.03341932117080113,High-High
0603743,0.09535334606248182,Not Significant
0603703,0.06571359019394252,Not Significant
0603713,0.18122602528698503,Not Significant
0603712,0.7629799135983906,Not Significant
0607110,0.01432227596167565,High-High
0606511,0.012975013107520663,High-High
0607114,0.04638151436317178,High-High
0605913,0.29183103603990423,Not Significant
0603735,0.4064302139495804,Not Significant
0603716,0.6975172693270086,Not Significant
0607113,0.08529049871172129,Not Significant
0603756,0.07122227817286252,Not Significant
0603751,0.004553196177874073,High-High
0603730,0.013043291042038866,High-High
0601305,0.002650502677444809,High-High
0608514,0.0033764026712808115,High-High
0608511,0.05059963004382913,Not Significant
0608503,0.007299475165486817,High-High
0608510,0.001779654843539484,High-High
0608509,5.629459231590941e-4,High-High
0600103,0.0011666142422489605,High-High
0609503,0.06265852428404499,Not Significant
0606709,0.003169621410268595,High-High
0606707,1.6715348804080449e-06,High-High
0606701,0.002617214918096068,High-High
0601308,0.004039598082969464,High-High
0601306,9.080918632364209e-4,High-High
0601304,0.02140255254188784,High-High
0609502,0.0013397811483336936,High-High
0601307,3.694698085393663e-4,High-High
0606703,0.0021089697319476436,High-High
0602904,0.028303854369187732,High-High
0607503,0.6463901418625784,Not Significant
0600105,8.356801054387602e-8,High-High
0600102,0.03302211284993428,High-High
0601302,9.52234751318445e-4,High-High
0609703,0.3289006295824811,Not Significant
0606101,0.0011088535353907256,High-High
0606102,0.17130981093511538,Not Significant
0606712,0.002494905973105533,High-High
0603708,0.0759962531330766,Not Significant
